model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
logistic_l2_C0.05,train,17145,58,0.3749712913153974,0.9934493454390614,0.2074819457042248,0.05119152691968226,1.0,0.09739714525608732,16012,1075,0,58,distress_next_4q,logistic_l2,42,"{""C"": 0.05}",False,0.503
logistic_l2_C0.05,validation,6045,53,0.3749712913153974,0.7802384311157015,0.02024204859199254,0.026743075453677174,0.5283018867924528,0.05090909090909091,4973,1019,25,28,distress_next_4q,logistic_l2,42,"{""C"": 0.05}",False,0.503
logistic_l2_C0.05,test,5872,96,0.3749712913153974,0.6766613284856879,0.02892389985163858,0.028169014084507043,0.041666666666666664,0.033613445378151266,5638,138,92,4,distress_next_4q,logistic_l2,42,"{""C"": 0.05}",False,0.503
logistic_l2_C0.2,train,17145,58,0.04669696938702095,0.9943948111389381,0.23148778254802777,0.02559576345984113,1.0,0.049913941480206545,14879,2208,0,58,distress_next_4q,logistic_l2,42,"{""C"": 0.2}",False,1.038
logistic_l2_C0.2,validation,6045,53,0.04669696938702095,0.7433055394614203,0.016922433452863577,0.02385211687537269,0.7547169811320755,0.04624277456647399,4355,1637,13,40,distress_next_4q,logistic_l2,42,"{""C"": 0.2}",False,1.038
logistic_l2_C0.2,test,5872,96,0.04669696938702095,0.6199449590258541,0.02254124917970908,0.014925373134328358,0.052083333333333336,0.023201856148491882,5446,330,91,5,distress_next_4q,logistic_l2,42,"{""C"": 0.2}",False,1.038
logistic_l2_C1,train,17145,58,0.00292280586960865,0.9957126107163542,0.30897223403432084,0.02136279926335175,1.0,0.0418319509556437,14430,2657,0,58,distress_next_4q,logistic_l2,42,"{""C"": 1.0}",False,1.925
logistic_l2_C1,validation,6045,53,0.00292280586960865,0.72339219588382,0.015528039320597082,0.022197558268590455,0.7547169811320755,0.043126684636118594,4230,1762,13,40,distress_next_4q,logistic_l2,42,"{""C"": 1.0}",False,1.925
logistic_l2_C1,test,5872,96,0.00292280586960865,0.581470380309326,0.02011211030325546,0.012711864406779662,0.0625,0.021126760563380285,5310,466,90,6,distress_next_4q,logistic_l2,42,"{""C"": 1.0}",False,1.925
logistic_l2_C5,train,17145,58,1.1138698854259512e-05,0.9967751244644547,0.3613907203985025,0.01494460190672507,1.0,0.02944909875602945,13264,3823,0,58,distress_next_4q,logistic_l2,42,"{""C"": 5.0}",False,3.233
logistic_l2_C5,validation,6045,53,1.1138698854259512e-05,0.7348319772274984,0.016662642665685484,0.02209051724137931,0.7735849056603774,0.0429544264012572,4177,1815,12,41,distress_next_4q,logistic_l2,42,"{""C"": 5.0}",False,3.233
logistic_l2_C5,test,5872,96,1.1138698854259512e-05,0.5691799399815328,0.019659332930804678,0.011389521640091117,0.052083333333333336,0.01869158878504673,5342,434,91,5,distress_next_4q,logistic_l2,42,"{""C"": 5.0}",False,3.233
random_forest_cfg1_seed42,train,17145,58,0.06327235285458661,1.0,1.0000000000000002,0.21804511278195488,1.0,0.35802469135802467,16879,208,0,58,distress_next_4q,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.16
random_forest_cfg1_seed42,validation,6045,53,0.06327235285458661,0.8373145325843263,0.12999066453866934,0.19402985074626866,0.24528301886792453,0.21666666666666665,5938,54,40,13,distress_next_4q,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.16
random_forest_cfg1_seed42,test,5872,96,0.06327235285458661,0.7964178280817176,0.09281477001279312,0.15,0.15625,0.1530612244897959,5691,85,81,15,distress_next_4q,random_forest,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,1.16
random_forest_cfg1_seed202,train,17145,58,0.06717471714259832,0.9999999999999999,1.0000000000000002,0.23481781376518218,1.0,0.380327868852459,16898,189,0,58,distress_next_4q,random_forest,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,0.747
random_forest_cfg1_seed202,validation,6045,53,0.06717471714259832,0.827159483084364,0.11545553946043995,0.23636363636363636,0.24528301886792453,0.24074074074074073,5950,42,40,13,distress_next_4q,random_forest,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,0.747
random_forest_cfg1_seed202,test,5872,96,0.06717471714259832,0.8010346332525392,0.1242446357625594,0.1728395061728395,0.14583333333333334,0.1581920903954802,5709,67,82,14,distress_next_4q,random_forest,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 250}",False,0.747
